"SITE","year","substrate_group","Proportion"
"Coral Grotto","2016","RKC",0
"Coral Grotto","2016","SC",0.025
"Coral Grotto","2016","SP",0
"Coral Grotto","2017","HC",0.47
"Coral Grotto","2017","HCB",0
"Coral Grotto","2017","NIA",0
"Coral Grotto","2017","NL",0.444
"Coral Grotto","2017","NR",0
"Coral Grotto","2017","OT",0
"Coral Grotto","2017","RKC",0
"Coral Grotto","2017","SC",0.081
"Coral Grotto","2017","SP",0.006
"Coral Grotto","2018","HC",0.594
"Coral Grotto","2018","HCB",0
"Coral Grotto","2018","NIA",0
"Coral Grotto","2018","NL",0.368
"Coral Grotto","2018","NR",0
"Coral Grotto","2018","OT",0.013
"Coral Grotto","2018","RKC",0
"Coral Grotto","2018","SC",0.025
"Coral Grotto","2018","SP",0
"Coral Grotto","2020","HC",0.606
"Coral Grotto","2020","HCB",0
"Coral Grotto","2020","NIA",0
"Coral Grotto","2020","NL",0.324
"Coral Grotto","2020","NR",0
"Coral Grotto","2020","OT",0.013
"Coral Grotto","2020","RKC",0
"Coral Grotto","2020","SC",0.056
"Coral Grotto","2020","SP",0
"Coral Grotto","2021","HC",0.689
"Coral Grotto","2021","HCB",0
"Coral Grotto","2021","NIA",0
"Coral Grotto","2021","NL",0.288
"Coral Grotto","2021","NR",0
"Coral Grotto","2021","OT",0
"Coral Grotto","2021","RKC",0.006
"Coral Grotto","2021","SC",0.019
"Coral Grotto","2021","SP",0
"Coral Grotto","2022","HC",0.67
"Coral Grotto","2022","HCB",0
"Coral Grotto","2022","NIA",0
"Coral Grotto","2022","NL",0.275
"Coral Grotto","2022","NR",0
"Coral Grotto","2022","OT",0.013
"Coral Grotto","2022","RKC",0
"Coral Grotto","2022","SC",0.038
"Coral Grotto","2022","SP",0.006
"Coral Grotto","2023","HC",0.619
"Coral Grotto","2023","HCB",0
"Coral Grotto","2023","NIA",0
"Coral Grotto","2023","NL",0.344
"Coral Grotto","2023","NR",0.006
"Coral Grotto","2023","OT",0.013
"Coral Grotto","2023","RKC",0
"Coral Grotto","2023","SC",0.019
"Coral Grotto","2023","SP",0
"Coral Grotto","2024","HC",0.263
"Coral Grotto","2024","HCB",0.006
"Coral Grotto","2024","NIA",0.013
"Coral Grotto","2024","NL",0.681
"Coral Grotto","2024","NR",0
"Coral Grotto","2024","OT",0
"Coral Grotto","2024","RKC",0.012
"Coral Grotto","2024","SC",0.025
"Coral Grotto","2024","SP",0
"Half Way","2014","HC",0.312
"Half Way","2014","HCB",0.013
"Half Way","2014","NIA",0.006
"Half Way","2014","NL",0.612
"Half Way","2014","NR",0
"Half Way","2014","OT",0
"Half Way","2014","RKC",0.006
"Half Way","2014","SC",0.05
"Half Way","2014","SP",0
"Half Way","2015","HC",0.306
"Half Way","2015","HCB",0
"Half Way","2015","NIA",0
"Half Way","2015","NL",0.651
"Half Way","2015","NR",0
"Half Way","2015","OT",0
"Half Way","2015","RKC",0
"Half Way","2015","SC",0.031
"Half Way","2015","SP",0.013
"Half Way","2016","HC",0.168
"Half Way","2016","HCB",0.013
"Half Way","2016","NIA",0.006
"Half Way","2016","NL",0.72
"Half Way","2016","NR",0
"Half Way","2016","OT",0
"Half Way","2016","RKC",0
"Half Way","2016","SC",0.051
"Half Way","2016","SP",0.044
"Half Way","2017","HC",0.182
"Half Way","2017","HCB",0.019
"Half Way","2017","NIA",0
"Half Way","2017","NL",0.732
"Half Way","2017","NR",0
"Half Way","2017","OT",0
"Half Way","2017","RKC",0.006
"Half Way","2017","SC",0.056
"Half Way","2017","SP",0.006
"Half Way","2020","HC",0.263
"Half Way","2020","HCB",0
"Half Way","2020","NIA",0
"Half Way","2020","NL",0.651
"Half Way","2020","NR",0
"Half Way","2020","OT",0
"Half Way","2020","RKC",0
"Half Way","2020","SC",0.075
"Half Way","2020","SP",0.013
"Half Way","2021","HC",0.3
"Half Way","2021","HCB",0
"Half Way","2021","NIA",0.044
"Half Way","2021","NL",0.6
"Half Way","2021","NR",0
"Half Way","2021","OT",0
"Half Way","2021","RKC",0
"Half Way","2021","SC",0.056
"Half Way","2021","SP",0
"Half Way","2022","HC",0.243
"Half Way","2022","HCB",0
"Half Way","2022","NIA",0
"Half Way","2022","NL",0.712
"Half Way","2022","NR",0
"Half Way","2022","OT",0
"Half Way","2022","RKC",0
"Half Way","2022","SC",0.044
"Half Way","2022","SP",0
"Half Way","2023","HC",0.463
"Half Way","2023","HCB",0
"Half Way","2023","NIA",0
"Half Way","2023","NL",0.537
"Half Way","2023","NR",0
"Half Way","2023","OT",0
"Half Way","2023","RKC",0
"Half Way","2023","SC",0
"Half Way","2023","SP",0
"Half Way","2024","HC",0.162
"Half Way","2024","HCB",0
"Half Way","2024","NIA",0.075
"Half Way","2024","NL",0.737
"Half Way","2024","NR",0
"Half Way","2024","OT",0
"Half Way","2024","RKC",0.013
"Half Way","2024","SC",0.013
"Half Way","2024","SP",0
"Harry's Bommie","2013","HC",0.633
"Harry's Bommie","2013","HCB",0
"Harry's Bommie","2013","NIA",0
"Harry's Bommie","2013","NL",0.332
"Harry's Bommie","2013","NR",0
"Harry's Bommie","2013","OT",0
"Harry's Bommie","2013","RKC",0.012
"Harry's Bommie","2013","SC",0.019
"Harry's Bommie","2013","SP",0.006
"Harry's Bommie","2014","HC",0.731
"Harry's Bommie","2014","HCB",0.006
"Harry's Bommie","2014","NIA",0.006
"Harry's Bommie","2014","NL",0.219
"Harry's Bommie","2014","NR",0
"Harry's Bommie","2014","OT",0
"Harry's Bommie","2014","RKC",0.019
"Harry's Bommie","2014","SC",0.019
"Harry's Bommie","2014","SP",0
"Harry's Bommie","2015","HC",0.613
