SITE,SITE_label,year,site_type,HC,HCB,total_coral,method,bleach_prop
Coral Grotto,Coral Grotto (NS),2018,NS,0.594,0,0.594,CW,0
Coral Grotto,Coral Grotto (NS),2020,NS,0.606,0,0.606,RCA,0
Coral Grotto,Coral Grotto (NS),2020,NS,0.606,0,0.606,CW,NA
Coral Grotto,Coral Grotto (NS),2021,NS,0.689,0,0.689,RCA,0
Coral Grotto,Coral Grotto (NS),2021,NS,0.689,0,0.689,CW,0
Coral Grotto,Coral Grotto (NS),2022,NS,0.67,0,0.67,RCA,0
Coral Grotto,Coral Grotto (NS),2022,NS,0.67,0,0.67,CW,0.0851063829787234
Coral Grotto,Coral Grotto (NS),2023,NS,0.619,0,0.619,RCA,0
Coral Grotto,Coral Grotto (NS),2023,NS,0.619,0,0.619,CW,0.02941176470588235
Coral Grotto,Coral Grotto (NS),2024,NS,0.263,0.006,0.269,RCA,0.02230483271375464
Coral Grotto,Coral Grotto (NS),2024,NS,0.263,0.006,0.269,CW,0.14864864864864866
Coral Grotto,Coral Grotto (NS),2019,NS,NA,NA,NA,RCA,NA
Coral Grotto,Coral Grotto (NS),2019,NS,NA,NA,NA,CW,0
Libby's Lair,Libby's Lair (NS),2013,NS,0.475,0.013,0.488,RCA,0.02663934426229508
Libby's Lair,Libby's Lair (NS),2013,NS,0.475,0.013,0.488,CW,0.03333333333333333
Libby's Lair,Libby's Lair (NS),2014,NS,0.51,0.013,0.523,RCA,0.02485659655831739
Libby's Lair,Libby's Lair (NS),2014,NS,0.51,0.013,0.523,CW,0.0588235294117647
Libby's Lair,Libby's Lair (NS),2015,NS,0.519,0.006,0.525,RCA,0.01142857142857142
Libby's Lair,Libby's Lair (NS),2015,NS,0.519,0.006,0.525,CW,0
Libby's Lair,Libby's Lair (NS),2016,NS,0.6,0.013,0.613,RCA,0.02120717781402936
Libby's Lair,Libby's Lair (NS),2016,NS,0.6,0.013,0.613,CW,0
Libby's Lair,Libby's Lair (NS),2017,NS,0.558,0.088,0.646,RCA,0.13622291021671826
Libby's Lair,Libby's Lair (NS),2017,NS,0.558,0.088,0.646,CW,0.0217391304347826
Libby's Lair,Libby's Lair (NS),2018,NS,0.626,0.006,0.632,RCA,0.00949367088607595
Libby's Lair,Libby's Lair (NS),2018,NS,0.626,0.006,0.632,CW,0
Libby's Lair,Libby's Lair (NS),2019,NS,0.737,0.038,0.775,RCA,0.04903225806451612
Libby's Lair,Libby's Lair (NS),2019,NS,0.737,0.038,0.775,CW,0.05555555555555555
Libby's Lair,Libby's Lair (NS),2020,NS,0.72,0,0.72,RCA,0
Libby's Lair,Libby's Lair (NS),2020,NS,0.72,0,0.72,CW,NA
Libby's Lair,Libby's Lair (NS),2021,NS,0.756,0,0.756,RCA,0
Libby's Lair,Libby's Lair (NS),2021,NS,0.756,0,0.756,CW,0.02941176470588235
Libby's Lair,Libby's Lair (NS),2022,NS,0.694,0,0.694,RCA,0
Libby's Lair,Libby's Lair (NS),2022,NS,0.694,0,0.694,CW,0.06862745098039216
Libby's Lair,Libby's Lair (NS),2023,NS,0.744,0,0.744,RCA,0
Libby's Lair,Libby's Lair (NS),2023,NS,0.744,0,0.744,CW,0.03508771929824561
Libby's Lair,Libby's Lair (NS),2024,NS,0.249,0,0.249,RCA,0
Libby's Lair,Libby's Lair (NS),2024,NS,0.249,0,0.249,CW,0.11864406779661016
Canyons,Canyons (SS),2013,SS,0.693,0.006,0.699,RCA,0.00858369098712446
Canyons,Canyons (SS),2013,SS,0.693,0.006,0.699,CW,0.05555555555555555
Canyons,Canyons (SS),2014,SS,0.626,0,0.626,RCA,0
Canyons,Canyons (SS),2014,SS,0.626,0,0.626,CW,0.2631578947368421
Canyons,Canyons (SS),2015,SS,0.631,0,0.631,RCA,0
Canyons,Canyons (SS),2015,SS,0.631,0,0.631,CW,0
