"SITE","site_type","SITE_label","year","substrate_group","Proportion"
"White Wedding","NF","White Wedding (NF)",2019,"RKC",0
"White Wedding","NF","White Wedding (NF)",2019,"SC",0
"White Wedding","NF","White Wedding (NF)",2019,"SP",0
"White Wedding","NF","White Wedding (NF)",2020,"HC",0.068
"White Wedding","NF","White Wedding (NF)",2020,"HCB",0
"White Wedding","NF","White Wedding (NF)",2020,"NIA",0
"White Wedding","NF","White Wedding (NF)",2020,"NL",0.913
"White Wedding","NF","White Wedding (NF)",2020,"NR",0
"White Wedding","NF","White Wedding (NF)",2020,"OT",0.019
"White Wedding","NF","White Wedding (NF)",2020,"RKC",0
"White Wedding","NF","White Wedding (NF)",2020,"SC",0
"White Wedding","NF","White Wedding (NF)",2020,"SP",0
"White Wedding","NF","White Wedding (NF)",2021,"HC",0.088
"White Wedding","NF","White Wedding (NF)",2021,"HCB",0
"White Wedding","NF","White Wedding (NF)",2021,"NIA",0
"White Wedding","NF","White Wedding (NF)",2021,"NL",0.819
"White Wedding","NF","White Wedding (NF)",2021,"NR",0
"White Wedding","NF","White Wedding (NF)",2021,"OT",0.094
"White Wedding","NF","White Wedding (NF)",2021,"RKC",0
"White Wedding","NF","White Wedding (NF)",2021,"SC",0
"White Wedding","NF","White Wedding (NF)",2021,"SP",0
"White Wedding","NF","White Wedding (NF)",2022,"HC",0.074
"White Wedding","NF","White Wedding (NF)",2022,"HCB",0
"White Wedding","NF","White Wedding (NF)",2022,"NIA",0.006
"White Wedding","NF","White Wedding (NF)",2022,"NL",0.749
"White Wedding","NF","White Wedding (NF)",2022,"NR",0
"White Wedding","NF","White Wedding (NF)",2022,"OT",0.162
"White Wedding","NF","White Wedding (NF)",2022,"RKC",0
"White Wedding","NF","White Wedding (NF)",2022,"SC",0.006
"White Wedding","NF","White Wedding (NF)",2022,"SP",0
"White Wedding","NF","White Wedding (NF)",2023,"HC",0.119
"White Wedding","NF","White Wedding (NF)",2023,"HCB",0
"White Wedding","NF","White Wedding (NF)",2023,"NIA",0.025
"White Wedding","NF","White Wedding (NF)",2023,"NL",0.819
"White Wedding","NF","White Wedding (NF)",2023,"NR",0
"White Wedding","NF","White Wedding (NF)",2023,"OT",0.038
"White Wedding","NF","White Wedding (NF)",2023,"RKC",0
"White Wedding","NF","White Wedding (NF)",2023,"SC",0
"White Wedding","NF","White Wedding (NF)",2023,"SP",0
"White Wedding","NF","White Wedding (NF)",2024,"HC",0.063
"White Wedding","NF","White Wedding (NF)",2024,"HCB",0.013
"White Wedding","NF","White Wedding (NF)",2024,"NIA",0.112
"White Wedding","NF","White Wedding (NF)",2024,"NL",0.801
"White Wedding","NF","White Wedding (NF)",2024,"NR",0
"White Wedding","NF","White Wedding (NF)",2024,"OT",0.013
"White Wedding","NF","White Wedding (NF)",2024,"RKC",0
"White Wedding","NF","White Wedding (NF)",2024,"SC",0
"White Wedding","NF","White Wedding (NF)",2024,"SP",0
"Jetty Flat","SF","Jetty Flat (SF)",2013,"HC",0.351
"Jetty Flat","SF","Jetty Flat (SF)",2013,"HCB",0
"Jetty Flat","SF","Jetty Flat (SF)",2013,"NIA",0.025
"Jetty Flat","SF","Jetty Flat (SF)",2013,"NL",0.606
"Jetty Flat","SF","Jetty Flat (SF)",2013,"NR",0
"Jetty Flat","SF","Jetty Flat (SF)",2013,"OT",0.006
"Jetty Flat","SF","Jetty Flat (SF)",2013,"RKC",0
"Jetty Flat","SF","Jetty Flat (SF)",2013,"SC",0.013
"Jetty Flat","SF","Jetty Flat (SF)",2013,"SP",0
"Jetty Flat","SF","Jetty Flat (SF)",2014,"HC",0.312
"Jetty Flat","SF","Jetty Flat (SF)",2014,"HCB",0.013
"Jetty Flat","SF","Jetty Flat (SF)",2014,"NIA",0.038
"Jetty Flat","SF","Jetty Flat (SF)",2014,"NL",0.625
"Jetty Flat","SF","Jetty Flat (SF)",2014,"NR",0
