"SITE","site_type","SITE_label","year","substrate_group","count"
"Coral Cascade","NS","Coral Cascade (NS)",2016,"HCB",3
"Coral Cascade","NS","Coral Cascade (NS)",2016,"NIA",1
"Coral Cascade","NS","Coral Cascade (NS)",2016,"NL",52
"Coral Cascade","NS","Coral Cascade (NS)",2016,"OT",1
"Coral Cascade","NS","Coral Cascade (NS)",2016,"SC",6
"Coral Cascade","NS","Coral Cascade (NS)",2017,"HC",72
"Coral Cascade","NS","Coral Cascade (NS)",2017,"HCB",16
"Coral Cascade","NS","Coral Cascade (NS)",2017,"NL",61
"Coral Cascade","NS","Coral Cascade (NS)",2017,"OT",2
"Coral Cascade","NS","Coral Cascade (NS)",2017,"RKC",1
"Coral Cascade","NS","Coral Cascade (NS)",2017,"SC",8
"Coral Cascade","NS","Coral Cascade (NS)",2018,"HC",85
"Coral Cascade","NS","Coral Cascade (NS)",2018,"HCB",2
"Coral Cascade","NS","Coral Cascade (NS)",2018,"NIA",1
"Coral Cascade","NS","Coral Cascade (NS)",2018,"NL",60
"Coral Cascade","NS","Coral Cascade (NS)",2018,"OT",7
"Coral Cascade","NS","Coral Cascade (NS)",2018,"RKC",1
"Coral Cascade","NS","Coral Cascade (NS)",2018,"SC",4
"Coral Cascade","NS","Coral Cascade (NS)",2019,"HC",85
"Coral Cascade","NS","Coral Cascade (NS)",2019,"HCB",2
"Coral Cascade","NS","Coral Cascade (NS)",2019,"NIA",3
"Coral Cascade","NS","Coral Cascade (NS)",2019,"NL",59
"Coral Cascade","NS","Coral Cascade (NS)",2019,"OT",4
"Coral Cascade","NS","Coral Cascade (NS)",2019,"RKC",1
"Coral Cascade","NS","Coral Cascade (NS)",2019,"SC",6
"Coral Cascade","NS","Coral Cascade (NS)",2020,"HC",96
"Coral Cascade","NS","Coral Cascade (NS)",2020,"NIA",3
"Coral Cascade","NS","Coral Cascade (NS)",2020,"NL",52
"Coral Cascade","NS","Coral Cascade (NS)",2020,"SC",9
"Coral Cascade","NS","Coral Cascade (NS)",2021,"HC",107
"Coral Cascade","NS","Coral Cascade (NS)",2021,"NL",38
"Coral Cascade","NS","Coral Cascade (NS)",2021,"OT",10
"Coral Cascade","NS","Coral Cascade (NS)",2021,"SC",5
"Coral Cascade","NS","Coral Cascade (NS)",2022,"HC",89
"Coral Cascade","NS","Coral Cascade (NS)",2022,"HCB",1
"Coral Cascade","NS","Coral Cascade (NS)",2022,"NL",61
"Coral Cascade","NS","Coral Cascade (NS)",2022,"OT",4
"Coral Cascade","NS","Coral Cascade (NS)",2022,"SC",5
"Coral Cascade","NS","Coral Cascade (NS)",2023,"HC",127
"Coral Cascade","NS","Coral Cascade (NS)",2023,"NL",31
"Coral Cascade","NS","Coral Cascade (NS)",2023,"SC",2
"Coral Cascade","NS","Coral Cascade (NS)",2024,"HC",47
"Coral Cascade","NS","Coral Cascade (NS)",2024,"NIA",4
"Coral Cascade","NS","Coral Cascade (NS)",2024,"NL",97
"Coral Cascade","NS","Coral Cascade (NS)",2024,"OT",8
"Coral Cascade","NS","Coral Cascade (NS)",2024,"RKC",1
"Coral Cascade","NS","Coral Cascade (NS)",2024,"SC",3
"Coral Grotto","NS","Coral Grotto (NS)",2013,"HC",46
"Coral Grotto","NS","Coral Grotto (NS)",2013,"NIA",1
"Coral Grotto","NS","Coral Grotto (NS)",2013,"NL",105
"Coral Grotto","NS","Coral Grotto (NS)",2013,"OT",2
"Coral Grotto","NS","Coral Grotto (NS)",2013,"SC",4
"Coral Grotto","NS","Coral Grotto (NS)",2013,"SP",2
"Coral Grotto","NS","Coral Grotto (NS)",2014,"HC",54
"Coral Grotto","NS","Coral Grotto (NS)",2014,"NIA",1
"Coral Grotto","NS","Coral Grotto (NS)",2014,"NL",100
"Coral Grotto","NS","Coral Grotto (NS)",2014,"SC",4
"Coral Grotto","NS","Coral Grotto (NS)",2014,"SP",1
"Coral Grotto","NS","Coral Grotto (NS)",2015,"HC",69
"Coral Grotto","NS","Coral Grotto (NS)",2015,"NL",88
"Coral Grotto","NS","Coral Grotto (NS)",2015,"SC",3
"Coral Grotto","NS","Coral Grotto (NS)",2016,"HC",96
"Coral Grotto","NS","Coral Grotto (NS)",2016,"NIA",8
